club,played,league_points,points_for,points_against,season,source_note
Toulouse,24,82,922,555,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Montpellier,24,74,770,544,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Pau,24,73,728,604,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Stade Français,24,73,809,616,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Bordeaux,24,68,769,658,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Clermont,24,67,765,636,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Racing 92,24,65,756,690,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
La Rochelle,24,63,726,597,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Toulon,24,55,666,760,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Lyon,24,52,678,707,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Castres,24,49,595,701,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Bayonne,24,46,674,824,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Perpignan,24,25,514,718,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
Montauban,24,7,445,1207,2025-26,Wikipedia 2025-26 Top 14 regular season (24 of 26 rounds; updated 17 May 2026)
